,datetime1d,wsmx
404,2015-11-10,15.98
405,2015-11-11,18.03
406,2015-11-12,16.65
407,2015-11-13,18.77
408,2015-11-14,19.86
409,2015-11-15,23.07
410,2015-11-16,22.72
411,2015-11-17,11.71
412,2015-11-18,18.77
413,2015-11-19,18.38
414,2015-11-20,16.37
415,2015-11-21,13.05
416,2015-11-22,17.15
417,2015-11-23,15.98
418,2015-11-24,19.26
419,2015-11-25,20.46
420,2015-11-26,20.14
421,2015-11-27,29.88
422,2015-11-28,25.23
423,2015-11-29,27.2
424,2015-11-30,27.02
425,2015-12-01,26.42
426,2015-12-02,23.92
427,2015-12-03,20.14
428,2015-12-04,17.43
429,2015-12-05,17.22
430,2015-12-06,22.19
431,2015-12-07,25.68
432,2015-12-08,27.52
433,2015-12-09,19.51
434,2015-12-10,21.24
435,2015-12-11,25.58
436,2015-12-12,22.23
437,2015-12-13,22.72
438,2015-12-14,23.5
439,2015-12-15,16.58
440,2015-12-16,17.71
441,2015-12-17,25.12
442,2015-12-18,23.88
443,2015-12-19,25.93
444,2015-12-20,24.24
445,2015-12-21,22.79
446,2015-12-22,23.96
447,2015-12-23,22.97
448,2015-12-24,22.72
449,2015-12-25,27.66
450,2015-12-26,26.85
451,2015-12-27,25.72
452,2015-12-28,25.37
453,2015-12-29,24.73
454,2015-12-30,25.05
455,2015-12-31,29.21
456,2016-01-01,29.49
457,2016-01-02,31.4
458,2016-01-03,28.12
459,2016-01-04,23.99
460,2016-01-05,22.47
461,2016-01-06,29.78
462,2016-01-07,28.01
463,2016-01-08,28.19
464,2016-01-09,27.2
465,2016-01-10,26.74
466,2016-01-11,30.02
467,2016-01-12,25.61
468,2016-01-13,29.88
469,2016-01-14,28.4
470,2016-01-15,22.76
471,2016-01-16,23.99
472,2016-01-17,30.09
473,2016-01-18,31.58
474,2016-01-19,38.31
475,2016-01-20,31.68
476,2016-01-21,30.55
477,2016-01-22,22.93
478,2016-01-23,32.32
479,2016-01-24,32.32
480,2016-01-25,37.22
481,2016-01-26,28.96
482,2016-01-27,28.05
483,2016-01-28,21.66
484,2016-01-29,24.59
485,2016-01-30,28.01
486,2016-01-31,29.85
487,2016-02-01,28.68
488,2016-02-02,27.73
489,2016-02-03,28.72
490,2016-02-04,28.54
491,2016-02-05,34.01
492,2016-02-06,39.65
493,2016-02-07,36.69
494,2016-02-08,34.08
495,2016-02-09,31.96
496,2016-02-10,42.87
497,2016-02-11,44.81
498,2016-02-12,33.06
499,2016-02-13,35.92
500,2016-02-14,37.64
501,2016-02-15,33.27
502,2016-02-16,28.72
503,2016-02-17,28.01
504,2016-02-18,34.05
505,2016-02-19,41.56
506,2016-02-20,39.69
507,2016-02-21,36.8
508,2016-02-22,33.69
509,2016-02-23,27.55
510,2016-02-24,22.83
511,2016-02-25,26.88
512,2016-02-26,32.25
513,2016-02-27,34.96
