date,area_m2,treefall,branchfall,stand_dead
2017-10-30,21.16799707770,0,1,0
2017-08-31,141.43246921500,1,0,0
2017-11-29,189.61662285200,1,0,0
2017-08-31,69.26266927390,1,0,0
2017-08-31,63.35810016520,0,0,1
2017-08-31,99.23522759370,1,0,0
2017-08-31,14.99078939070,1,0,0
2017-08-31,165.88896100500,1,0,0
2017-10-30,20.96638376990,1,0,0
2017-08-31,23.22893309680,0,1,0
2017-08-31,27.46810158710,1,0,0
2017-08-31,37.37106500160,0,1,0
2017-11-29,37.69173471810,0,1,0
2017-10-30,27.03654721830,0,1,0
2017-10-30,49.48066571280,1,0,0
2017-09-27,13.22107258910,1,0,0
2017-04-21,4.29093133923,0,1,0
2017-11-29,8.80303900121,0,1,0
2017-11-29,5.39001317348,1,0,0
2017-10-30,11.86872799520,1,0,0
2018-07-24,55.61717492270,0,1,0
2018-05-23,103.35420709200,1,0,0
2018-05-23,30.69802600450,0,1,0
2018-02-28,116.99983491800,1,0,0
2018-07-24,20.38928250650,1,0,0
2019-06-27,60.79496263510,1,0,0
2019-10-17,28.76790317480,0,1,0
2019-10-17,22.85843784910,0,1,0
2018-05-23,11.32981422220,0,1,0
2018-04-04,15.39486292930,0,1,0
2018-08-27,39.97273260450,0,1,0
2019-09-23,28.77762017260,0,1,0
2018-02-28,60.84776371440,1,0,0
2018-07-24,29.64116060360,0,1,0
2019-07-24,34.76720781920,1,0,0
2019-09-23,265.27506620300,0,1,0
2019-09-23,13.97070089830,0,1,0
2019-09-23,48.79747765070,1,0,0
2019-09-23,13.69990419510,0,1,0
2018-05-23,12.87804995840,1,0,0
2018-07-24,31.15112941710,1,0,0
2018-07-24,238.64188562700,1,0,0
2018-08-27,28.35273731240,1,0,0
2018-10-26,21.45356819370,1,0,0
2018-08-27,124.73901055800,1,0,0
2019-09-23,170.75515609800,1,0,0
2018-07-24,85.71027344560,1,0,0
2018-07-24,68.34126781020,1,0,0
2018-08-27,67.02077753590,0,1,0
2019-05-31,36.00162025870,0,1,0
2019-11-28,25.83676964970,0,1,0
2019-10-17,32.71701699610,1,0,0
2018-07-24,56.24855981480,1,0,0
2018-07-24,38.30432396940,0,1,0
2018-07-24,49.94567577000,1,0,0
2018-07-24,98.74774572830,1,0,0
2018-07-24,172.43436079900,1,0,0
2018-08-27,157.73826553600,1,0,0
2018-08-27,68.93919746040,1,0,0
2019-04-24,46.04508527160,1,0,0
2019-04-24,24.85017010070,0,1,0
2018-07-24,33.85448355230,1,0,0
2018-07-24,139.63710597800,1,0,0
2018-07-24,14.62642589850,0,1,0
2018-07-24,97.30768750770,1,0,0
2019-07-24,29.24094619970,1,0,0
2019-03-25,96.67470535180,1,0,0
2019-09-23,31.71582633350,0,1,0
2018-07-24,70.29318392010,1,0,0
2018-07-24,41.67418013730,1,0,0
2018-07-24,30.79034204090,1,0,0
2018-11-26,33.85809790200,1,0,0
2018-08-27,60.62336105680,0,1,0
2019-02-25,197.91624595400,1,0,0
2018-07-24,80.93235322260,1,0,0
2019-02-25,34.78779191910,1,0,0
2018-07-24,58.54204959920,1,0,0
2019-06-27,98.09436884270,0,1,0
2019-06-27,29.85772995460,1,0,0
2019-11-28,64.56022328890,0,1,0
2019-11-28,56.68554795840,1,0,0
2019-09-23,77.66551267590,1,0,0
2018-07-24,73.87238236540,1,0,0
2018-05-23,74.28923500830,1,0,0
2018-07-24,152.27860004500,0,0,1
2018-10-26,64.12088722330,1,0,0
2018-11-26,61.24968682360,0,0,1
2018-10-26,25.12835924380,0,1,0
2018-10-26,27.01147482390,0,0,1
2018-12-26,21.14183394420,0,0,1
2019-03-25,52.89062622890,1,0,0
2019-09-23,40.44198580890,1,0,0
2018-07-24,133.62219432500,1,0,0
2018-07-24,38.98786169140,0,0,1
2018-07-24,46.70327293740,0,1,0
2018-07-24,22.05622387870,1,0,0
2018-08-27,61.71866729860,0,1,0
2019-08-28,48.83503307270,1,0,0
2019-08-28,36.45941234020,0,1,0
2019-09-23,28.80535753120,0,1,0
2018-04-04,122.81468963300,1,0,0
2018-07-24,42.69723440550,1,0,0
2018-04-04,7.13467592348,1,0,0
2018-07-24,52.74936022160,1,0,0
2019-03-25,107.80854429100,1,0,0
2019-05-31,7.77376181885,0,1,0
2019-09-23,175.38349174900,1,0,0
2019-11-28,88.98618509100,1,0,0
2019-09-23,69.32361998390,1,0,0
2019-09-23,42.87423536240,0,1,0
2019-09-23,193.85731864800,1,0,0
2019-11-28,113.27959165600,0,0,1
2019-09-23,13.20707166050,0,1,0
2019-03-25,57.51579769630,0,1,0
2018-02-28,88.80906337940,1,0,0
2018-02-28,52.71857868450,1,0,0
2018-07-24,339.03421030300,1,0,0
2018-07-24,44.73413173340,1,0,0
2018-02-28,42.71614588800,1,0,0
2018-07-24,243.50885075300,1,0,0
2018-07-24,34.71442912620,1,0,0
2018-02-28,88.82003504420,1,0,0
2018-02-28,6.69664197554,0,0,1
2018-07-24,17.41498496250,0,0,1
2018-08-27,324.54407297100,1,0,0
2018-12-26,33.18232038330,1,0,0
2019-07-24,135.07144424400,1,0,0
2019-09-23,30.29243686490,1,0,0
2018-07-24,99.54458756300,1,0,0
2018-05-23,27.57537373360,1,0,0
2018-07-24,113.56319279800,1,0,0
2018-07-24,75.69491797080,1,0,0
2018-05-23,83.66653388960,0,0,1
2018-07-24,40.16497762060,0,0,1
2018-02-28,96.20409573300,1,0,0
2018-02-28,66.78806197800,0,0,1
2018-08-27,27.70138067880,1,0,0
2018-11-26,37.73715632650,1,0,0
2019-02-25,38.82033982560,1,0,0
2019-01-28,168.96485527600,1,0,0
2019-11-28,101.87631646700,0,0,1
2019-09-23,192.82521217500,1,0,0
2019-09-23,93.75078768180,1,0,0
2018-05-23,161.59587547600,1,0,0
2018-08-27,33.85982006210,0,1,0
2018-08-27,29.86278102790,0,1,0
2018-08-27,35.85997975380,0,1,0
2018-08-27,36.64641350850,0,1,0
2018-11-26,14.40399753480,0,1,0
2018-05-23,32.45081150720,1,0,0
2018-05-23,18.44904817770,0,1,0
2018-05-23,74.67685260640,1,0,0
2018-07-24,30.78659128670,0,1,0
2019-07-24,36.12180696870,1,0,0
2019-03-25,23.61813937240,1,0,0
2019-03-25,39.64254499260,0,1,0
2019-09-23,40.61612112380,1,0,0
2019-10-17,45.95265358730,1,0,0
2018-07-24,137.50145520900,1,0,0
2018-02-28,26.73650405440,0,0,1
2018-11-26,119.58976132600,1,0,0
2019-06-27,82.86228587570,0,1,0
2019-06-27,44.72142067540,0,1,0
2018-07-24,29.13973239120,1,0,0
2018-08-27,25.23005841860,0,1,0
2018-07-24,152.38946343700,1,0,0
2018-04-04,54.40710650130,1,0,0
2018-07-24,28.67407203310,0,1,0
2018-07-24,25.73736648090,0,1,0
2019-04-24,29.39243448700,0,1,0
2019-09-23,21.89766176660,0,0,1
2019-11-28,12.40971987950,0,0,1
2018-07-24,108.78926959100,1,0,0
2018-08-27,17.30690308470,1,0,0
2019-09-23,21.64219079900,0,1,0
2019-09-23,31.73248566420,1,0,0
2018-08-27,85.03761639490,1,0,0
2018-08-27,65.20116711360,1,0,0
2018-10-26,44.81064847110,1,0,0
2019-11-28,34.68167193570,0,0,1
2019-11-28,23.50439807560,0,0,1
2018-08-27,66.39383612020,1,0,0
2018-08-27,56.86673297410,1,0,0
2019-09-23,33.27171975570,1,0,0
2019-08-28,23.43015147150,1,0,0
2018-05-23,7.45893468606,1,0,0
2019-07-24,34.89203858480,0,1,0
2019-07-24,30.72177805370,1,0,0
2019-09-23,20.64376983370,0,1,0
